caractère associé,type d’info,francais,english
f,commande,avance,forward
f,commande,avances,forward
f,commande,avancer,forward
f,commande,avançant,forward
b,commande,recule,backward
b,commande,recules,backward
b,commande,reculer,backward
b,commande,reculant,backward
c,commande,demi-tour,around
t,commande,tournes,turn
t,commande,tourner,turn
t,commande,tourne,turn
r,direction,droite,right
l,direction,gauche,left
s,vitesse,rapidement,fast
m,commande,arrêt,stop
e,logiciel,quitte le mode vocal,exit voice mode
n,logiciel,enregistre le trajectoire,record trajectory
